210	ཐོབ	3		1279498
211	མཐུན	4		1274862
212	ག	1		1274198
213	རྒྱུན	5		1268704
214	མཐོང	4		1261974
215	འབྲས	4		1259106
216	བཏང	3		1257944
217	ཐུབ	3		1257862
218	ཡོན	3		1251922
219	ཟེར	3		1245010
220	འཕེལ	4		1244180
221	སྐྱེས	5		1241520
222	ཆུང	3		1240356
223	ཁྱབ	3		1239028
224	མཐའ	3		1237952
225	ཚིག	3		1230328
226	དགའ	3		1228984
227	བླ	2		1224876
228	ངེས	3		1222572
229	ཁྱད	3		1219716
230	དམངས	4		1219162
231	ར	1		1217022
232	ཐབས	3		1210084
233	འཛུགས	5		1209362
234	ཞིབ	3		1206764
235	སྨན	3		1205978
236	ཨ	1		1200422
237	ཁོ	2		1194826
238	མར	2		1186852
239	རྩོམ	4		1184582
240	མཆོག	4		1183574
241	བཅོས	4		1171836
242	དྲུག	4		1167644
243	སྙིང	4		1165640
244	གཙོ	3		1151922
245	འདས	3		1151812
246	ལྷག	3		1143192
247	རྫོང	4		1142834
248	གྲངས	4		1137810
249	ཁག	2		1136232
250	རྩལ	3		1126586
251	འང	2		1121513
252	མིན	3		1119670
253	ཚོ	2		1115808
254	ཕན	2		1115376
255	ཤུགས	4		1111716
256	རྟོགས	5		1106924
257	དཀར	3		1099162
258	ཁྱེར	4		1094802
259	ཁམས	3		1089570
260	འཕྲིན	5		1085198
261	ནད	2		1084642
262	ཡེ	2		1082978
263	རིན	3		1074048
264	དེས	3		1072004
265	ཕྱག	3		1069294
266	དཔེ	3		1066576
267	གོང	3		1051686
268	འགན	3		1042354
269	ཆུབ	3		1039582
270	ཚན	2		1039338
271	ཡིད	3		1036562
272	སྦྱོར	5		1032722
273	ཐང	2		1029720
274	དམིགས	5		1029562
275	ཆགས	3		1025356
276	རོལ	3		1022992
277	ཁྲི	3		1020254
278	ཟད	2		1019108
279	གཟུགས	5		1013240
280	ཞུགས	4		1013154
281	ཕྱིན	4		996024
282	ཐ	1		989376
283	བརྒྱད	5		987590
284	དཔའ	3		979504
285	ཏང	2		979282
286	ཞུ	2		972350
287	སྐྲུན	5		964376
288	གླིང	4		963140
289	པོར	3		962714
290	ཉི	2		961174
291	ནམ	2		959420
292	སྲུང	4		959366
293	སོང	3		955166
294	བཀོད	4		931510
295	ཞི	2		929914
296	སྒྲ	3		928366
297	འོད	3		920678
298	མིང	3		915452
299	གནང	3		914182
300	ཕ	1		913580
301	མཁན	3		901442
302	ཉེ	2		897632
303	ཉམས	3		891462
304	རྟོག	4		890994
305	འདུ	3		888984
306	མིག	3		885418
307	དབུལ	4		883984
308	རྫོགས	5		882244
309	སྐུལ	4		871356
310	དེར	3		870924
311	གཏན	3		869340
312	ངག	2		868288
313	གལ	2		864370
314	མཁའ	3		864038
315	རྐྱེན	5		854898
316	ཡོང	3		854816
317	མཆོད	4		853634
318	འཇིག	4		849266
319	འདུག	4		847004
320	ཐག	2		846804
321	དངུལ	4		839508
322	བསྡུས	5		837704
323	ཟིན	3		836650
324	ཁྲིད	4		834192
325	སྔ	2		832428
326	ཐུགས	4		830314
327	འདིར	4		828000
328	ཁྱོད	4		827548
329	མདོ	3		826788
330	བཟུང	4		817668
331	གེ	2		816572
332	ཚེས	3		816110
333	རུང	3		814422
334	ཡིས	3		812948
335	སྔར	3		812622
336	གསུང	4		808270
337	ཡ	1		806728
338	ནོར	3		804734
339	ཆད	2		803808
340	ཆེད	3		801042
341	ཁྲིམས	5		798468
342	གྲོས	4		793184
343	བརྟེན	5		793160
344	སྟེང	4		792464
345	དྲ	2		791600
346	ལུང	3		778772
347	རླུང	4		776332
348	མཐོ	3		773276
349	སུམ	3		772088
350	བརྒྱ	4		764596
351	དཔོན	4		755656
352	བདུན	4		753548
353	བཀའ	3		751382
354	སྐྱོར	5		748120
355	ཞབས	3		747254
356	ཁབ	2		747068
357	སྡུག	4		746740
358	རྟགས	4		746452
359	དར	2		745316
360	ཞེ	2		744152
361	མཁས	3		742568
362	འཚོ	3		739680
363	གནད	3		734218
364	བཟོ	3		734024
365	རབས	3		729078
366	ཁྱིམ	4		726246
367	བརྟན	4		725818
368	དུང	3		722920
369	བཞག	3		722426
370	སྦྱོང	5		718578
371	གྲགས	4		714812
372	རྫས	3		713866
373	ཨུ	2		709960
374	བསྐྱེད	6		708030
375	སྔགས	4		706398
376	བཅོམ	4		704734
377	ཁོང	3		701906
378	གསོལ	4		699646
379	བརྒྱུད	6		698660
380	མཚོན	4		695524
381	སྙན	3		694762
382	རྩེ	3		689716
383	སྒོར	4		688480
384	ལྷན	3		685342
385	ཚོད	3		680016
386	ངན	2		679862
387	ནག	2		676990
388	འམ	2		676922
389	ཤིན	3		668094
390	ཁྲོད	4		667888
391	པོས	3		667542
392	གཤེགས	5		665962
393	ཏན	2		663406
394	བྱིན	4		662636
395	སྟོབས	5		660418
396	རྒྱུས	5		658872
397	ཤ	1		658088
398	བཞུགས	5		656694
399	ཤར	2		651440
400	ཡན	2		650828
401	དཀྱིལ	5		648362
402	དཔྱད	4		646706
403	ངང	2		644496
404	མགོ	3		642318
405	སྲོལ	4		641476
406	ལན	2		641294
407	གྲྭ	3		634858
408	ཐད	2		634560
409	གར	2		633896
410	དད	2		633822
411	གནོད	4		632334
412	ངོས	3		631220
413	ཐལ	2		627404
414	ཤིག	3		624754
415	བྲལ	3		624566
416	སྦྱར	4		622464
417	འོག	3		620952
418	ཁུངས	4		618632
419	བདེན	4		618262
420	རྟག	3		616554
421	དཀའ	3		612900
422	འདུས	4		610662
423	ཟབ	2		610058
424	གློག	4		604180
425	དགུ	3		601518
426	འགོག	4		599606
427	སི	2		599466
428	བརྙན	4		598282
429	མཚམས	4		594704
430	བསྒྱུར	6		594514
431	འགོད	4		592542
432	མཐར	3		590310
433	གསང	3		589558
434	དགོངས	5		589114
435	ལོག	3		586976
436	ཚོང	3		583946
437	ཞལ	2		579380
438	སྦྱིན	5		574894
439	འགྲེལ	5		570994
440	རྟ	2		570704
441	དབྱེ	4		568398
442	ཐེངས	4		567240
443	ཐར	2		566700
444	རོགས	4		565858
445	སློང	4		562660
446	དམར	3		559244
447	ཚ	1		558178
448	དྲི	3		557554
449	འགོ	3		556344
450	མས	2		556076
451	མཛེས	4		551494
452	གཅོད	4		544024
453	ཏ	1		543410
454	རྒྱན	4		539154
455	རྒན	3		538278
456	ཏོག	3		536966
457	མཛོད	4		534684
458	ཧ	1		531210
459	གཙང	3		526748
460	སྐྱེད	5		526182
461	ཚོར	3		522976
462	འཆར	3		522118
463	དམག	3		521672
464	ཁེ	2		521660
465	འཕགས	4		520998
466	མཁྱེན	5		516684
467	ཆོག	3		516350
468	འཇོག	4		514012
469	ཚིགས	4		513746
470	ཐོས	3		513060
471	ལྷོ	3		512884
472	འདོན	4		512330
473	ལེ	2		510774
474	གཉེར	4		510200
475	ཚོས	3		510104
476	ལོར	3		508226
477	སྐྱོན	5		501546
478	བོར	3		500954
479	སྡོད	4		500454
480	མྱོང	4		496586
481	སྲོག	4		496130
482	དྲན	3		495180
483	ཕོ	2		490850
484	སར	2		487242
485	གཞོན	4		484516
486	སྤྲོད	5		484382
487	འབུམ	4		483618
488	འདུན	4		483536
489	སྙམ	3		481822
490	ཐུན	3		480960
491	ཆེས	3		476258
492	འབྲོག	5		474466
493	རྐང	3		471448
494	བླངས	4		470966
495	ཤོག	3		468430
496	དབྱངས	5		468188
497	རྣལ	3		467838
498	གསེར	4		466560
499	བྲག	3		465582
500	དྲག	3		462634
501	མོས	3		462526
502	ཐེག	3		460620
503	སྒྱུ	4		459966
504	ཇུས	3		459556
505	སྐྱིད	5		456924
506	མུ	2		455150
507	འདེད	4		454990
508	ཁོངས	4		453122
509	ཆེར	3		452926
510	བཅད	3		452724
511	ནན	2		451238
512	ཇེ	2		448506
513	བདུད	4		448424
514	འགལ	3		447466
515	མཚུངས	5		447044
516	ལགས	3		446076
517	གཏམ	3		443578
518	འགྲུབ	5		442870
519	ཆས	2		438154
520	རྒྱུར	5		437882
521	ཏོ	2		435878
522	བྱེ	3		434410
523	འདེབས	5		434328
524	སོར	3		431552
525	སྒྲོལ	5		430960
526	ཉེས	3		429690
527	བརྡ	3		428544
528	ཕུལ	3		428316
529	ནུབ	3		425954
530	སྒྱུར	5		425262
531	སེལ	3		424966
532	བསྔལ	4		423856
533	བོན	3		423734
534	སྨྲ	3		423328
535	རིས	3		423026
536	ལི	2		422844
537	དབུ	3		422362
538	རྩིས	4		420722
539	བསྒྲུབ	6		420710
540	འདྲེན	5		419204
541	བསྟར	4		414356
542	ཉོན	3		414010
543	དབུས	4		411950
544	ཟ	1		409538
545	འགའ	3		406038
546	སེར	3		405160
547	གོས	3		403794
548	དཔེར	4		403638
549	ཆར	2		403438
550	དགོན	4		401356
551	དགྲ	3		401300
552	བཙན	3		400406
553	བརྩམས	5		400320
554	གྲོལ	4		400042
555	བརྩོན	5		400004
556	སྤྲུལ	5		399290
557	ཞུས	3		397158
558	ཁྱེད	4		395462
559	བསྡུ	4		395224
560	གུ	2		394522
561	ལྡོག	4		392868
562	ཉན	2		390880
563	ཕྱུག	4		390484
564	འབབ	3		390298
565	གཉེན	4		389114
566	ཤིས	3		388998
567	བཀྲ	3		388592
568	ཅང	2		386682
569	ཟག	2		386372
570	མྱུར	4		386354
571	བུར	3		385674
572	མདུན	4		384126
573	བྲིས	4		383494
574	འཐུས	4		383388
575	ཡུན	3		382498
576	ཟས	2		380904
577	སྲས	3		380314
578	སྡོམ	4		377466
579	དབྱང	4		374540
580	ལྕགས	4		371886
581	བསྟེན	5		371218
582	གཟིགས	5		370388
583	གླུ	3		370078
584	འགྲན	4		368034
585	ཐོ	2		367124
586	བསྒྲགས	6		365026
587	ཕུང	3		364430
588	སྨིན	4		364200
589	དེབ	3		363830
590	འཇིགས	5		363524
591	བཙུན	4		363480
592	རྒྱབ	4		362744
593	ཉེར	3		360706
594	རྩི	3		357134
595	བསོད	4		356322
596	མོང	3		355000
597	གཏོགས	5		354976
598	ཅུ	2		354976
599	འོང	3		354818
600	བཙུགས	5		354704
601	འཕར	3		352806
602	བསྒོམ	5		352240
603	སྒོམ	4		352104
604	བཏགས	4		352086
605	དཔག	3		352084
606	སྐྱོབ	5		351976
607	སྙོམས	5		351232
608	འཕྲུལ	5		350462
609	མཇུག	4		350362
610	ཅུང	3		348754
611	འཇགས	4		348162
612	ཚུན	3		347712
613	ཀླུ	3		347446
614	འཇམ	3		347028
615	ཡར	2		346846
616	ཕྲེང	4		345414
617	འགུལ	4		344606
618	ཚུགས	4		343028
619	གླེང	4		342656
620	མོངས	4		342186
621	གནམ	3		341464
622	གདན	3		338704
623	ཤས	2		337022
624	ལོངས	4		336928
625	ཉུང	3		335950
626	ཕེབས	4		335252
627	ཁྱོན	4		335096
628	གཏོར	4		333892
629	ཐིག	3		333628
630	དེང	3		332618
631	བཅའ	3		331908
632	བུད	3		331570
633	ཆབ	2		330550
634	སྤྱན	4		330232
635	སྨོན	4		329372
636	གཏོད	4		327770
637	སྤང	3		327160
638	ཏིང	3		326686
639	མགོན	4		326392
640	གཡས	3		324768
641	བུམ	3		324730
642	ཅིན	3		323420
643	ལྟེ	3		323410
644	སྣོན	4		323030
645	འབྲིང	5		322530
646	ཡུག	3		322092
647	མངའ	3		320540
648	གྲུ	3		319690
649	ངས	2		319134
650	འཆད	3		319108
651	འོས	3		317392
652	ཕྲག	3		316398
653	སྤྱད	4		314060
